Team 0, offset: 1934868
Team 1, offset: 1935572
Team 2, offset: 1936276
Team 3, offset: 1936980
Team 4, offset: 1937684
Team 5, offset: 1938388
Team 6, offset: 1939092
Team 7, offset: 1939796
Team 8, offset: 1940500
Team 9, offset: 1941204
Team 10, offset: 1941908
Team 11, offset: 1942612
Team 12, offset: 1943316
Team 13, offset: 1944020
Team 14, offset: 1944724
Team 15, offset: 1945428
Team 16, offset: 1946132
Team 17, offset: 1946836
Team 18, offset: 1947540
Team 19, offset: 1948244
Team 20, offset: 1948948
Team 21, offset: 1949652
Team 22, offset: 1950356
Team 23, offset: 1951060
Team 24, offset: 1951764
Team 25, offset: 1952468
Team 26, offset: 1953172
Team 27, offset: 1953876
Team 28, offset: 1954580
Team 29, offset: 1955284
Team 30, offset: 1955988
Team 31, offset: 1956692
Team 32, offset: 1957396
Team 33, offset: 1958100
Team 34, offset: 1958804
Team 35, offset: 1959508
Team 36, offset: 1960212
Team 37, offset: 1960916
Team 38, offset: 1961620
Team 39, offset: 1962324
Team 40, offset: 1963028
Team 41, offset: 1963732
Team 42, offset: 1964436
Team 43, offset: 1965140
Team 44, offset: 1965844
Team 45, offset: 1966548
Team 46, offset: 1967252
Team 47, offset: 1967956
Team 48, offset: 1968660
Team 49, offset: 1969364
Team 50, offset: 1970068
Team 51, offset: 1970772
Team 52, offset: 1971476
Team 53, offset: 1972180
Team 54, offset: 1972884
Team 55, offset: 1973588
Team 56, offset: 1974292
Team 57, offset: 1974996
Team 58, offset: 1975700
Team 59, offset: 1976404
Team 60, offset: 1977108
Team 61, offset: 1977812
Team 62, offset: 1978516
Team 63, offset: 1979220
Team 64, offset: 1979924
Team 65, offset: 1980628
Team 66, offset: 1981332
Team 67, offset: 1982036
Team 68, offset: 1982740
Team 69, offset: 1983444
Team 70, offset: 1984148
Team 71, offset: 1984852
Team 72, offset: 1985556
Team 73, offset: 1986260
Team 74, offset: 1986964
Team 75, offset: 1987668
Team 76, offset: 1988372
Team 77, offset: 1989076
Team 78, offset: 1989780
Team 79, offset: 1990484
Team 80, offset: 1991188
Team 81, offset: 1991892
Team 82, offset: 1992596
Team 83, offset: 1993300
Team 84, offset: 1994004
Team 85, offset: 1994708
Team 86, offset: 1995412
Team 87, offset: 1996116
Team 88, offset: 1996820
Team 89, offset: 1997524
Team 90, offset: 1998228
Team 91, offset: 1998932
Team 92, offset: 1999636
Team 93, offset: 2000340
Team 94, offset: 2001044
Team 95, offset: 2001748
Team 96, offset: 2002452
Team 97, offset: 2003156
Team 98, offset: 2003860
Team 99, offset: 2004564
Team 100, offset: 2005268
Team 101, offset: 2005972
Team 102, offset: 2006676
Team 103, offset: 2007380
Team 104, offset: 2008084
Team 105, offset: 2008788
Team 106, offset: 2009492
Team 107, offset: 2010196
Team 108, offset: 2010900
Team 109, offset: 2011604
Team 110, offset: 2012308
Team 111, offset: 2013012
Team 112, offset: 2013716
Team 113, offset: 2014420
Team 114, offset: 2015124
Team 115, offset: 2015828
Team 116, offset: 2016532
Team 117, offset: 2017236
Team 118, offset: 2017940
Team 119, offset: 2018644
Team 120, offset: 2019348
Team 121, offset: 2020052
Team 122, offset: 2020756
Team 123, offset: 2021460
Team 124, offset: 2022164
Team 125, offset: 2022868
Team 126, offset: 2023572
Team 127, offset: 2024276
Team 128, offset: 2024980
Team 129, offset: 2025684
Team 130, offset: 2026388
Team 131, offset: 2027092
Team 132, offset: 2027796
Team 133, offset: 2028500
Team 134, offset: 2029204
Team 135, offset: 2029908
Team 136, offset: 2030612
Team 137, offset: 2031316
Team 138, offset: 2032020
Team 139, offset: 2032724
Team 140, offset: 2033428
