index,offset_hex,team_name,team_abbr,team_name_2,nickname,mascot
"0","0x1d8614","Austin Peay","APSU","Austin Peay","Governors","Governor Peay"
"1","0x1d88d4","Belmont","BEL","Belmont","Bruins","Bruiser"
"2","0x1d8b94","E. Illinois","EIU","Eastern Illinois","Panthers","Billy "
"3","0x1d8e54","Morehead St.","MORE","Morehead State","Eagles","The Eagle"
"4","0x1d9114","Murray St.","MURR","Murray State","Racers","Dunker"
"5","0x1d93d4","Southeast Missou","SEMO","Southeast Missou","RedHawks","N/A"
"6","0x1d9694","Tennessee St.","TNST","Tennessee State","Tigers","N/A"
"7","0x1d9954","Tennessee Tech","TNTC","Tennessee Tech","Golden Eagles","Awesome Eagle"
"8","0x1d9c14","Tennessee-Martin","UTM","Tennessee-Martin","Skyhawks","Captain "
"9","0x1d9ed4","Davidson","DAV","Davidson","Wildcats","Mr. Cat"
"10","0x1da194","Dayton","DAY","Dayton","Flyers","Rudy Flyer"
"11","0x1da454","Fordham","FOR","Fordham","Rams","Rameses"
"12","0x1da714","George Mason","GMU","George Mason","Patriots","Gunston"
"13","0x1da9d4","G. Washington","GW","George Washington","Colonials","Big George"
"14","0x1dac94","Massachusetts","MASS","Massachusetts","Minutemen","N/A"
"15","0x1daf54","Rhode Island","URI","Rhode Island","Rams","Rhody"
"16","0x1db214","Richmond","RICH","Richmond","Spiders","Spidey"
"17","0x1db4d4","Saint Joseph's","JOES","Saint Joseph's","Hawks","The Hawk"
"18","0x1db794","Saint Louis","SLU","Saint Louis","Billikens","N/A"
"19","0x1dba54","St. Bonaventure","SBU","St. Bonaventure","Bonnies","Wolf"
"20","0x1dbd14","VCU","VCU","Virginia Commonwealth","Rams","Rodney"
"21","0x1dbfd4","Appalachian Stat","APP","Appalachian Stat","Mountaineers","Yosef"
"22","0x1dc294","Arkansas St.","ARST","Arkansas State","Red Wolves","Chief Big Track"
"23","0x1dc554","Coastal Carolina","CCU","Coastal Carolina","Chanticleers","Chants"
"24","0x1dc814","Georgia Southern","GASO","Georgia Southern","Eagles","Gus"
"25","0x1dcad4","Georgia St.","GSU","Georgia State","Panthers","Pounce"
"26","0x1dcd94","UALR","UALR","UALR","Trojans","N/A"
"27","0x1dd054","Louisiana-Lafaye","ULL","Louisiana-Lafaye","Ragin' Cajuns","Cayenne"
"28","0x1dd314","South Alabama","USA","South Alabama","Jaguars","South Paw"
"29","0x1dd5d4","Texas State","TXST","Texas State","Bobcats","Boko"
"30","0x1dd894","Troy","TROY","Troy","Trojans","N/A"
"31","0x1ddb54","ULM","ULM","Louisiana Monroe","Warhawks","N/A"
"32","0x1dde14","Texas at Arlingt","UTA","Texas at Arlingt","Mavericks","Sam"
"33","0x1de0d4","Illinois","ILL","Illinois","Fighting Illini","Chief Illiniwek"
"34","0x1de394","Indiana","IND","Indiana","Hoosiers","N/A"
"35","0x1de654","Iowa","IOWA","Iowa","Hawkeyes","Herky"
"36","0x1de914","Maryland","MD","Maryland","Terrapins","Testudo"
"37","0x1debd4","Michigan","MICH","Michigan","Wolverines","N/A"
"38","0x1dee94","Michigan St.","MSU","Michigan State","Spartans","Sparty"
"39","0x1df154","Minnesota","MINN","Minnesota","Golden Gophers","Goldy Gopher"
"40","0x1df414","Nebraska","NEB","Nebraska","Cornhuskers","Herbie"
"41","0x1df6d4","Northwestern","NW","Northwestern","Wildcats","Willie"
"42","0x1df994","Ohio St.","OHST","Ohio State","Buckeyes","Brutus"
"43","0x1dfc54","Penn St.","PSU","Penn State","Nittany Lions","The Nittany Lion"
"44","0x1dff14","Purdue","PUR","Purdue","Boilermakers","Purdue Pete"
"45","0x1e01d4","Rutgers","RUT","Rutgers","Scarlet Knights","The Scarlet Knight"
"46","0x1e0494","Wisconsin","WIS","Wisconsin","Badgers","Bucky Badger"
"47","0x1e0754","Boston College","BC","Boston College","Eagles","Baldwin"
"48","0x1e0a14","Clemson","CLEM","Clemson","Tigers","The Tiger"
"49","0x1e0cd4","Duke","DUKE","Duke","Blue Devils","Blue Devil"
"50","0x1e0f94","Florida St.","FSU","Florida State","Seminoles","Chief Osceola"
"51","0x1e1254","Georgia Tech","GT","Georgia Tech","Yellow Jackets","Buzz"
"52","0x1e1514","Louisville","LOU","Louisville","Cardinals","Cardinal Bird"
"53","0x1e17d4","Miami (FL)","MIA","Miami (FL)","Hurricanes","Sebastian"
"54","0x1e1a94","North Carolina","UNC","North Carolina","Tar Heels","Rameses"
"55","0x1e1d54","NC State","NCST","North Carolina State","Wolfpack","Mr. Wulf"
"56","0x1e2014","Notre Dame","ND","Notre Dame","Fighting Irish","The Leprechaun"
"57","0x1e22d4","Pittsburgh","PITT","Pittsburgh","Panthers","Roc"
"58","0x1e2594","Syracuse","SYR","Syracuse","Orange","Otto"
"59","0x1e2854","Virginia","UVA","Virginia","Cavaliers","The Cavalier"
"60","0x1e2b14","Virginia Tech","VT","Virginia Tech","Hokies","HokieBird"
"61","0x1e2dd4","Wake Forest","WAKE","Wake Forest","Demon Deacons","The Demon Deacon"
"62","0x1e3094","Vanderbilt","VNDY","Vanderbilt","Commodores","Mr. Commodore"
"63","0x1e3354","Bryant","BUB","Bryant","Bulldogs","Wil D Cat"
"64","0x1e3614","Central Connecti","CCSU","Central Connecti","Blue Devils","Victor"
"65","0x1e38d4","Fairleigh Dickin","FDU","Fairleigh Dickin","Knights","N/A"
"66","0x1e3b94","Long Island","LIU","Long Island","Sharks","N/A"
"67","0x1e3e54","Mount St. Mary's","MSM","Mount St. Mary's","Mountaineers","N/A"
"68","0x1e4114","Sacred Heart","SHU","Sacred Heart","Pioneers","N/A"
"69","0x1e43d4","St. Francis (NY)","SFNY","St. Francis (NY)","Terriers","Rocky"
"70","0x1e4694","St Francis PA","SFPA","St Francis PA","Red Flash","Frankie"
"71","0x1e4954","Wagner","WAG","Wagner","Seahawks","Seahawk"
"72","0x1e4c14","Chicago St.","CHIC","Chicago State","Cougars","N/A"
"73","0x1e4ed4","Grand Canyon","GC","Grand Canyon","Antelopes","Paws"
"74","0x1e5194","Lamar","LAM","Lamar","Cardinals","N/A"
"75","0x1e5454","New Mexico St.","NMSU","New Mexico State","Aggies","Pistol Pete"
"76","0x1e5714","Stephen F. Austi","SFA","Stephen F. Austi","Lumberjacks","N/A"
"77","0x1e59d4","Sam Houston Stat","SHSU","Sam Houston Stat","Bearkats","Sammy"
"78","0x1e5c94","Texas Rio Grande","UTRG","Texas Rio Grande","Vaqueros","Bucky"
"79","0x1e5f54","Utah Valley St.","UVSC","Utah Valley State","Wolverines","Wolverine"
"80","0x1e6214","Butler","BTLR","Butler","Bulldogs","Bruiser"
"81","0x1e64d4","Connecticut","CONN","Connecticut","Huskies","Jonathan"
"82","0x1e6794","Creighton","CREI","Creighton","Bluejays","Billy "
"83","0x1e6a54","DePaul","DEP","DePaul","Blue Demons","N/A"
"84","0x1e6d14","Georgetown","GTWN","Georgetown","Hoyas","Jack"
"85","0x1e6fd4","Marquette","MARQ","Marquette","Golden Eagles","Golden Eagle"
"86","0x1e7294","Providence","PROV","Providence","Friars","N/A"
"87","0x1e7554","Seton Hall","HALL","Seton Hall","Pirates","N/A"
"88","0x1e7814","St. John's","SJU","St. John's","Red Storm","N/A"
"89","0x1e7ad4","Villanova","VILL","Villanova","Wildcats","Will D. Cat"
"90","0x1e7d94","Xavier","XAV","Xavier","Musketeers","Blue Blob"
"91","0x1e8054","Arizona","ARIZ","Arizona","Wildcats","Wilbur"
"92","0x1e8314","Arizona St.","ASU","Arizona State","Sun Devils","Sparky"
"93","0x1e85d4","California","CAL","California","Golden Bears","Oski"
"94","0x1e8894","Colorado","COLO","Colorado","Buffaloes","Chip"
"95","0x1e8b54","Oregon","ORE","Oregon","Ducks","Donald Duck"
"96","0x1e8e14","Oregon St.","ORST","Oregon State","Beavers","Benny"
"97","0x1e90d4","Stanford","STAN","Stanford","Cardinal","The Stanford Tree"
"98","0x1e9394","UCLA","UCLA","UCLA","Bruins","Joe Bruin"
"99","0x1e9654","USC","USC","USC","Trojans","Tommy"
"100","0x1e9914","Utah","UTAH","Utah","Utes","Swoop"
"101","0x1e9bd4","Washington","WASH","Washington","Huskies","Harry "
"102","0x1e9e94","Washington St.","WSU","Washington State","Cougars","Butch"
"103","0x1ea154","American","AMER","American","Eagles","Clawed"
"104","0x1ea414","Army","ARMY","Army","Black Knights","General Scott"
"105","0x1ea6d4","Boston Universit","BU","Boston Universit","Terriers","Rhett"
"106","0x1ea994","Bucknell","BUCK","Bucknell","Bison","N/A"
"107","0x1eac54","Colgate","COLG","Colgate","Raiders","Leroy"
"108","0x1eaf14","Holy Cross","HC","Holy Cross","Crusaders","The Crusader"
"109","0x1eb1d4","Lehigh","LEH","Lehigh","Mountain Hawks","Mountain Hawk"
"110","0x1eb494","Loyola (MD)","L-MD","Loyola College","Greyhounds","The Dog"
"111","0x1eb754","Navy","NAVY","Navy","Midshipmen","Bill"
"112","0x1eba14","Cincinnati","CIN","Cincinnati","Bearcats","Bearcat"
"113","0x1ebcd4","East Carolina","ECU","East Carolina","Pirates","Pee Dee"
"114","0x1ebf94","Houston","HOU","Houston","Cougars","Shasta"
"115","0x1ec254","Memphis","MEM","Memphis","Tigers","Pouncer"
"116","0x1ec514","Southern Methodi","SMU","Southern Methodi","Mustangs","Peruna"
"117","0x1ec7d4","South Florida","USF","South Florida","Bulls","Rocky"
"118","0x1eca94","Temple","TEM","Temple","Owls","Hooter"
"119","0x1ecd54","Tulane","TULN","Tulane","Green Wave","Riptide"
"120","0x1ed014","Tulsa","TLSA","Tulsa","Golden Hurricane","Captain Cane"
"121","0x1ed2d4","UCF","UCF","UCF","Golden Knights","Knightro"
"122","0x1ed594","Wichita St.","WICH","Wichita State","Shockers","WUShock"
"123","0x1ed854","Marshall","MRSH","Marshall","Thundering Herd","Marco"
"124","0x1edb14","Charlotte","CHAR","Charlotte","49ers","N/A"
"125","0x1eddd4","Florida Atlantic","FAU","Florida Atlantic","Owls","N/A"
"126","0x1ee094","Florida Internat","FIU","Florida Internat","Golden Panthers","N/A"
"127","0x1ee354","Louisiana Tech","LT","Louisiana Tech","Bulldogs","Tech XVII"
"128","0x1ee614","Middle Tennessee","MTSU","Middle Tennessee","Blue Raiders","Lightning the Pegasus"
"129","0x1ee8d4","North Texas","UNT","North Texas","Mean Green","Scrappy"
"130","0x1eeb94","Old Dominion","ODU","Old Dominion","Monarchs","Big Blue"
"131","0x1eee54","Rice","RICE","Rice","Owls","Sammy"
"132","0x1ef114","Alabama-Birmingh","UAB","Alabama-Birmingh","Blazers","Blaze"
"133","0x1ef3d4","UTEP","UTEP","Texas-El Paso","Miners","Paydirt Pete"
"134","0x1ef694","UTSA","UTSA","Texas at San Antonio","Roadrunners","Rowdy"
"135","0x1ef954","W. Kentucky","WKY","Western Kentucky","Hilltoppers","Big Red"
"136","0x1efc14","Albany","ALB","Albany","Great Danes","Damien"
"137","0x1efed4","Binghamton ","BING","Binghamton","Bearcats","The Bearcat"
"138","0x1f0194","Hartford","HART","Hartford","Hawks","Howie"
"139","0x1f0454","Maine","ME","Maine","Black Bears","Bananas"
